,epochs,train_loss,train_iou_50%,train_iou_75%,train_iou_90%,val_loss,val_iou_50%,val_iou_75%,val_iou_90%
0,1,0.014553564688190818,0.972,0.632,0.064,0.007911004368812428,1.0,0.783,0.118
1,2,0.007117926000617445,1.0,0.784,0.112,0.005468093411938753,1.0,0.86,0.237
2,3,0.0059947217050939795,1.0,0.828,0.2,0.005101498815242848,1.0,0.896,0.292
3,4,0.005052123640663922,1.0,0.888,0.22,0.0040384026202500535,1.0,0.92,0.401
4,5,0.004040886802133173,1.0,0.924,0.26,0.004074970419520923,1.0,0.912,0.302
5,6,0.003107919974718243,1.0,0.94,0.352,0.0037764700992938744,1.0,0.936,0.38
6,7,0.0025659453782718626,1.0,0.976,0.436,0.0029574352660965814,1.0,0.959,0.457
7,8,0.0022372357677668334,1.0,0.956,0.464,0.0026976496351235257,1.0,0.96,0.475
8,9,0.0020413769043516367,1.0,0.988,0.592,0.003861025882371905,1.0,0.942,0.323
9,10,0.0017693348757456988,1.0,0.996,0.608,0.002665793846708766,1.0,0.962,0.491
